backbone,category,n_fit,seed,alpha_ok,false_alarm_rate,miss_rate,unsure_rate,unsure_rate_good,unsure_rate_defect,accuracy_on_decided
dinov2_s,bottle,167,0,0.05,0.05,0.0,0.0,0.0,0.0,0.9879518072289156
dinov2_s,bottle,167,0,0.1,0.05,0.0,0.012048192771084338,0.05,0.0,0.9878048780487805
dinov2_s,bottle,167,0,0.15,0.05,0.0,0.024096385542168676,0.1,0.0,0.9876543209876543
dinov2_s,bottle,167,0,0.2,0.05,0.0,0.024096385542168676,0.1,0.0,0.9876543209876543
dinov2_s,bottle,167,0,0.25,0.05,0.0,0.024096385542168676,0.1,0.0,0.9876543209876543
dinov2_s,bottle,167,0,0.3,0.05,0.0,0.024096385542168676,0.1,0.0,0.9876543209876543
dinov2_s,bottle,167,0,0.35,0.05,0.0,0.03614457831325301,0.15,0.0,0.9875
dinov2_s,bottle,167,0,0.4,0.05,0.0,0.0963855421686747,0.4,0.0,0.9866666666666667
dinov2_s,bottle,167,0,0.45,0.05,0.0,0.10843373493975904,0.45,0.0,0.9864864864864865
dinov2_s,bottle,167,0,0.5,0.05,0.0,0.13253012048192772,0.55,0.0,0.9861111111111112
dinov2_s,bottle,167,0,0.55,0.05,0.0,0.14457831325301204,0.6,0.0,0.9859154929577465
dinov2_s,bottle,167,0,0.6,0.05,0.0,0.14457831325301204,0.6,0.0,0.9859154929577465
dinov2_s,bottle,167,1,0.05,0.1,0.0,0.0,0.0,0.0,0.9759036144578314
dinov2_s,bottle,167,1,0.1,0.1,0.0,0.0,0.0,0.0,0.9759036144578314
dinov2_s,bottle,167,1,0.15,0.1,0.0,0.012048192771084338,0.05,0.0,0.975609756097561
dinov2_s,bottle,167,1,0.2,0.1,0.0,0.012048192771084338,0.05,0.0,0.975609756097561
dinov2_s,bottle,167,1,0.25,0.1,0.0,0.012048192771084338,0.05,0.0,0.975609756097561
dinov2_s,bottle,167,1,0.3,0.1,0.0,0.012048192771084338,0.05,0.0,0.975609756097561
dinov2_s,bottle,167,1,0.35,0.1,0.0,0.012048192771084338,0.05,0.0,0.975609756097561
dinov2_s,bottle,167,1,0.4,0.1,0.0,0.03614457831325301,0.15,0.0,0.975
dinov2_s,bottle,167,1,0.45,0.1,0.0,0.060240963855421686,0.25,0.0,0.9743589743589743
dinov2_s,bottle,167,1,0.5,0.1,0.0,0.08433734939759036,0.35,0.0,0.9736842105263158
dinov2_s,bottle,167,1,0.55,0.1,0.0,0.08433734939759036,0.35,0.0,0.9736842105263158
dinov2_s,bottle,167,1,0.6,0.1,0.0,0.10843373493975904,0.45,0.0,0.972972972972973
dinov2_s,bottle,167,2,0.05,0.1,0.0,0.0,0.0,0.0,0.9759036144578314
