category,backbone,seed,shift,calibration,n_calib,image_auroc,false_alarm,miss_three_way,unsure_rate
bottle,dinov2_s,0,clean,clean_calib,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,0,clean,recal_20,20,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,0,clean,recal_all,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,0,darker_0.7,clean_calib,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,0,darker_0.7,recal_20,20,1.0,0.0,0.0,0.03614457831325301
bottle,dinov2_s,0,darker_0.7,recal_all,42,1.0,0.0,0.0,0.03614457831325301
bottle,dinov2_s,0,brighter_1.3,clean_calib,42,1.0,0.15,0.0,0.12048192771084337
bottle,dinov2_s,0,brighter_1.3,recal_20,20,1.0,0.05,0.0,0.04819277108433735
bottle,dinov2_s,0,brighter_1.3,recal_all,42,1.0,0.05,0.0,0.07228915662650602
bottle,dinov2_s,0,rotate_5,clean_calib,42,0.8547619047619047,1.0,0.0,0.0
bottle,dinov2_s,0,rotate_5,recal_20,20,0.8547619047619047,0.0,0.20634920634920634,0.2891566265060241
bottle,dinov2_s,0,rotate_5,recal_all,42,0.8547619047619047,0.0,0.19047619047619047,0.21686746987951808
bottle,dinov2_s,0,rotate_15,clean_calib,42,0.8849206349206349,1.0,0.0,0.0
bottle,dinov2_s,0,rotate_15,recal_20,20,0.8849206349206349,0.0,0.09523809523809523,0.3253012048192771
bottle,dinov2_s,0,rotate_15,recal_all,42,0.8849206349206349,0.0,0.14285714285714285,0.1927710843373494
bottle,dinov2_s,0,blur_1,clean_calib,42,1.0,0.15,0.0,0.12048192771084337
bottle,dinov2_s,0,blur_1,recal_20,20,1.0,0.0,0.0,0.0963855421686747
bottle,dinov2_s,0,blur_1,recal_all,42,1.0,0.0,0.0,0.0963855421686747
bottle,dinov2_s,0,blur_2,clean_calib,42,0.9888888888888888,1.0,0.0,0.0
bottle,dinov2_s,0,blur_2,recal_20,20,0.9888888888888888,0.0,0.015873015873015872,0.0963855421686747
bottle,dinov2_s,0,blur_2,recal_all,42,0.9888888888888888,0.0,0.0,0.1566265060240964
bottle,dinov2_s,1,clean,clean_calib,42,1.0,0.1,0.0,0.012048192771084338
bottle,dinov2_s,1,clean,recal_20,20,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,1,clean,recal_all,42,1.0,0.1,0.0,0.012048192771084338
bottle,dinov2_s,1,darker_0.7,clean_calib,42,1.0,0.1,0.0,0.024096385542168676
bottle,dinov2_s,1,darker_0.7,recal_20,20,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,1,darker_0.7,recal_all,42,1.0,0.1,0.0,0.012048192771084338
bottle,dinov2_s,1,brighter_1.3,clean_calib,42,1.0,0.3,0.0,0.10843373493975904
bottle,dinov2_s,1,brighter_1.3,recal_20,20,1.0,0.0,0.0,0.08433734939759036
bottle,dinov2_s,1,brighter_1.3,recal_all,42,1.0,0.1,0.0,0.060240963855421686
bottle,dinov2_s,1,rotate_5,clean_calib,42,0.8634920634920635,1.0,0.0,0.0
bottle,dinov2_s,1,rotate_5,recal_20,20,0.8634920634920635,0.05,0.2222222222222222,0.12048192771084337
bottle,dinov2_s,1,rotate_5,recal_all,42,0.8634920634920635,0.05,0.2222222222222222,0.12048192771084337
bottle,dinov2_s,1,rotate_15,clean_calib,42,0.8722222222222221,1.0,0.0,0.0
bottle,dinov2_s,1,rotate_15,recal_20,20,0.8722222222222221,0.0,0.20634920634920634,0.21686746987951808
bottle,dinov2_s,1,rotate_15,recal_all,42,0.8722222222222221,0.0,0.20634920634920634,0.21686746987951808
bottle,dinov2_s,1,blur_1,clean_calib,42,1.0,0.35,0.0,0.08433734939759036
bottle,dinov2_s,1,blur_1,recal_20,20,1.0,0.0,0.0,0.0963855421686747
bottle,dinov2_s,1,blur_1,recal_all,42,1.0,0.05,0.0,0.08433734939759036
bottle,dinov2_s,1,blur_2,clean_calib,42,0.9904761904761905,1.0,0.0,0.0
bottle,dinov2_s,1,blur_2,recal_20,20,0.9904761904761905,0.0,0.0,0.1566265060240964
bottle,dinov2_s,1,blur_2,recal_all,42,0.9904761904761905,0.0,0.0,0.1566265060240964
bottle,dinov2_s,2,clean,clean_calib,42,1.0,0.1,0.0,0.012048192771084338
bottle,dinov2_s,2,clean,recal_20,20,1.0,0.0,0.0,0.04819277108433735
bottle,dinov2_s,2,clean,recal_all,42,1.0,0.1,0.0,0.012048192771084338
bottle,dinov2_s,2,darker_0.7,clean_calib,42,1.0,0.1,0.0,0.024096385542168676
bottle,dinov2_s,2,darker_0.7,recal_20,20,1.0,0.0,0.0,0.060240963855421686
bottle,dinov2_s,2,darker_0.7,recal_all,42,1.0,0.1,0.0,0.012048192771084338
bottle,dinov2_s,2,brighter_1.3,clean_calib,42,1.0,0.3,0.0,0.14457831325301204
bottle,dinov2_s,2,brighter_1.3,recal_20,20,1.0,0.0,0.0,0.10843373493975904
bottle,dinov2_s,2,brighter_1.3,recal_all,42,1.0,0.0,0.0,0.07228915662650602
bottle,dinov2_s,2,rotate_5,clean_calib,42,0.8396825396825396,1.0,0.0,0.0
bottle,dinov2_s,2,rotate_5,recal_20,20,0.8396825396825396,0.0,0.15873015873015872,0.39759036144578314
bottle,dinov2_s,2,rotate_5,recal_all,42,0.8396825396825396,0.0,0.23809523809523808,0.2289156626506024
bottle,dinov2_s,2,rotate_15,clean_calib,42,0.8682539682539683,1.0,0.0,0.0
bottle,dinov2_s,2,rotate_15,recal_20,20,0.8682539682539683,0.0,0.15873015873015872,0.30120481927710846
bottle,dinov2_s,2,rotate_15,recal_all,42,0.8682539682539683,0.0,0.2222222222222222,0.20481927710843373
bottle,dinov2_s,2,blur_1,clean_calib,42,1.0,0.35,0.0,0.12048192771084337
bottle,dinov2_s,2,blur_1,recal_20,20,1.0,0.0,0.0,0.12048192771084337
bottle,dinov2_s,2,blur_1,recal_all,42,1.0,0.0,0.0,0.08433734939759036
bottle,dinov2_s,2,blur_2,clean_calib,42,0.9912698412698413,1.0,0.0,0.0
bottle,dinov2_s,2,blur_2,recal_20,20,0.9912698412698413,0.1,0.015873015873015872,0.08433734939759036
bottle,dinov2_s,2,blur_2,recal_all,42,0.9912698412698413,0.1,0.015873015873015872,0.04819277108433735
bottle,dinov2_s,3,clean,clean_calib,42,1.0,0.05,0.0,0.04819277108433735
bottle,dinov2_s,3,clean,recal_20,20,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,3,clean,recal_all,42,1.0,0.05,0.0,0.04819277108433735
bottle,dinov2_s,3,darker_0.7,clean_calib,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,3,darker_0.7,recal_20,20,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,3,darker_0.7,recal_all,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,3,brighter_1.3,clean_calib,42,1.0,0.25,0.0,0.14457831325301204
bottle,dinov2_s,3,brighter_1.3,recal_20,20,1.0,0.05,0.0,0.08433734939759036
bottle,dinov2_s,3,brighter_1.3,recal_all,42,1.0,0.0,0.0,0.0963855421686747
bottle,dinov2_s,3,rotate_5,clean_calib,42,0.8634920634920635,1.0,0.0,0.0
bottle,dinov2_s,3,rotate_5,recal_20,20,0.8634920634920635,0.1,0.15873015873015872,0.07228915662650602
bottle,dinov2_s,3,rotate_5,recal_all,42,0.8634920634920635,0.0,0.19047619047619047,0.18072289156626506
