category,backbone,seed,shift,calibration,n_calib,image_auroc,false_alarm,miss_three_way,unsure_rate
metal_nut,dinov2_s,0,clean,clean_calib,44,0.9931573802541545,0.18181818181818182,0.0,0.05217391304347826
metal_nut,dinov2_s,0,clean,recal_20,20,0.9931573802541545,0.045454545454545456,0.0,0.09565217391304348
metal_nut,dinov2_s,0,clean,recal_all,44,0.9931573802541545,0.18181818181818182,0.0,0.05217391304347826
metal_nut,dinov2_s,0,darker_0.7,clean_calib,44,0.9936461388074291,0.18181818181818182,0.0,0.043478260869565216
metal_nut,dinov2_s,0,darker_0.7,recal_20,20,0.9936461388074291,0.045454545454545456,0.0,0.06956521739130435
metal_nut,dinov2_s,0,darker_0.7,recal_all,44,0.9936461388074291,0.13636363636363635,0.0,0.0782608695652174
metal_nut,dinov2_s,0,brighter_1.3,clean_calib,44,0.9931573802541545,0.22727272727272727,0.0,0.05217391304347826
metal_nut,dinov2_s,0,brighter_1.3,recal_20,20,0.9931573802541545,0.0,0.0,0.12173913043478261
metal_nut,dinov2_s,0,brighter_1.3,recal_all,44,0.9931573802541545,0.22727272727272727,0.0,0.05217391304347826
metal_nut,dinov2_s,0,rotate_5,clean_calib,44,0.7800586510263929,1.0,0.0,0.0
metal_nut,dinov2_s,0,rotate_5,recal_20,20,0.7800586510263929,0.0,0.27956989247311825,0.3739130434782609
metal_nut,dinov2_s,0,rotate_5,recal_all,44,0.7800586510263929,0.045454545454545456,0.3118279569892473,0.3130434782608696
metal_nut,dinov2_s,0,rotate_15,clean_calib,44,0.6358748778103617,1.0,0.0,0.0
metal_nut,dinov2_s,0,rotate_15,recal_20,20,0.6358748778103617,0.0,0.4838709677419355,0.33043478260869563
metal_nut,dinov2_s,0,rotate_15,recal_all,44,0.6358748778103617,0.0,0.4731182795698925,0.3565217391304348
metal_nut,dinov2_s,0,blur_1,clean_calib,44,0.9892473118279569,0.18181818181818182,0.0,0.11304347826086956
metal_nut,dinov2_s,0,blur_1,recal_20,20,0.9892473118279569,0.09090909090909091,0.010752688172043012,0.08695652173913043
metal_nut,dinov2_s,0,blur_1,recal_all,44,0.9892473118279569,0.09090909090909091,0.010752688172043012,0.09565217391304348
