category,backbone,seed,shift,calibration,n_calib,image_auroc,false_alarm,miss_three_way,unsure_rate
screw,dinov2_s,0,clean,clean_calib,64,0.8786636605861856,0.024390243902439025,0.1092436974789916,0.39375
screw,dinov2_s,0,clean,recal_20,20,0.8786636605861856,0.024390243902439025,0.06722689075630252,0.43125
screw,dinov2_s,0,clean,recal_all,64,0.8786636605861856,0.024390243902439025,0.1092436974789916,0.39375
screw,dinov2_s,0,darker_0.7,clean_calib,64,0.8819430211108833,0.07317073170731707,0.06722689075630252,0.34375
screw,dinov2_s,0,darker_0.7,recal_20,20,0.8819430211108833,0.04878048780487805,0.11764705882352941,0.44375
screw,dinov2_s,0,darker_0.7,recal_all,64,0.8819430211108833,0.04878048780487805,0.09243697478991597,0.43125
screw,dinov2_s,0,brighter_1.3,clean_calib,64,0.9979503996720639,0.04878048780487805,0.0,0.06875
screw,dinov2_s,0,brighter_1.3,recal_20,20,0.9979503996720639,0.0,0.31932773109243695,0.44375
screw,dinov2_s,0,brighter_1.3,recal_all,64,0.9979503996720639,0.0,0.42016806722689076,0.325
screw,dinov2_s,0,rotate_5,clean_calib,64,0.49005943840951016,1.0,0.0,0.0
screw,dinov2_s,0,rotate_5,recal_20,20,0.49005943840951016,0.14634146341463414,0.6974789915966386,0.225
screw,dinov2_s,0,rotate_5,recal_all,64,0.49005943840951016,0.07317073170731707,0.7058823529411765,0.24375
screw,dinov2_s,0,rotate_15,clean_calib,64,0.5109653617544578,1.0,0.0,0.0
screw,dinov2_s,0,rotate_15,recal_20,20,0.5109653617544578,0.12195121951219512,0.6386554621848739,0.2375
screw,dinov2_s,0,rotate_15,recal_all,64,0.5109653617544578,0.04878048780487805,0.6470588235294118,0.3
screw,dinov2_s,0,blur_1,clean_calib,64,0.7977044476327116,0.14634146341463414,0.058823529411764705,0.41875
screw,dinov2_s,0,blur_1,recal_20,20,0.7977044476327116,0.0,0.29411764705882354,0.4625
screw,dinov2_s,0,blur_1,recal_all,64,0.7977044476327116,0.0,0.19327731092436976,0.575
screw,dinov2_s,0,blur_2,clean_calib,64,0.6726788276286124,1.0,0.0,0.0
screw,dinov2_s,0,blur_2,recal_20,20,0.6726788276286124,0.0,0.5462184873949579,0.39375
screw,dinov2_s,0,blur_2,recal_all,64,0.6726788276286124,0.04878048780487805,0.47058823529411764,0.26875
screw,dinov2_s,1,clean,clean_calib,64,0.8917811026849765,0.07317073170731707,0.06722689075630252,0.3625
screw,dinov2_s,1,clean,recal_20,20,0.8917811026849765,0.14634146341463414,0.06722689075630252,0.15
screw,dinov2_s,1,clean,recal_all,64,0.8917811026849765,0.07317073170731707,0.06722689075630252,0.3625
screw,dinov2_s,1,darker_0.7,clean_calib,64,0.89198606271777,0.07317073170731707,0.058823529411764705,0.3375
screw,dinov2_s,1,darker_0.7,recal_20,20,0.89198606271777,0.21951219512195122,0.058823529411764705,0.16875
screw,dinov2_s,1,darker_0.7,recal_all,64,0.89198606271777,0.07317073170731707,0.058823529411764705,0.325
screw,dinov2_s,1,brighter_1.3,clean_calib,64,0.9995900799344127,0.04878048780487805,0.0,0.125
screw,dinov2_s,1,brighter_1.3,recal_20,20,0.9995900799344127,0.0,0.5126050420168067,0.23125
screw,dinov2_s,1,brighter_1.3,recal_all,64,0.9995900799344127,0.0,0.3865546218487395,0.36875
screw,dinov2_s,1,rotate_5,clean_calib,64,0.4648493543758967,1.0,0.0,0.0
screw,dinov2_s,1,rotate_5,recal_20,20,0.4648493543758967,0.07317073170731707,0.7142857142857143,0.275
screw,dinov2_s,1,rotate_5,recal_all,64,0.4648493543758967,0.12195121951219512,0.7226890756302521,0.21875
screw,dinov2_s,1,rotate_15,clean_calib,64,0.5011272801803648,1.0,0.0,0.0
screw,dinov2_s,1,rotate_15,recal_20,20,0.5011272801803648,0.04878048780487805,0.5714285714285714,0.33125
screw,dinov2_s,1,rotate_15,recal_all,64,0.5011272801803648,0.04878048780487805,0.6218487394957983,0.29375
screw,dinov2_s,1,blur_1,clean_calib,64,0.7901209264193481,0.17073170731707318,0.06722689075630252,0.38125
screw,dinov2_s,1,blur_1,recal_20,20,0.7901209264193481,0.24390243902439024,0.17647058823529413,0.1375
screw,dinov2_s,1,blur_1,recal_all,64,0.7901209264193481,0.07317073170731707,0.18487394957983194,0.36875
screw,dinov2_s,1,blur_2,clean_calib,64,0.6804673088747695,1.0,0.0,0.0
screw,dinov2_s,1,blur_2,recal_20,20,0.6804673088747695,0.024390243902439025,0.18487394957983194,0.675
screw,dinov2_s,1,blur_2,recal_all,64,0.6804673088747695,0.07317073170731707,0.33613445378151263,0.325
screw,dinov2_s,2,clean,clean_calib,64,0.89198606271777,0.024390243902439025,0.13445378151260504,0.39375
screw,dinov2_s,2,clean,recal_20,20,0.89198606271777,0.0975609756097561,0.05042016806722689,0.29375
screw,dinov2_s,2,clean,recal_all,64,0.89198606271777,0.024390243902439025,0.13445378151260504,0.39375
screw,dinov2_s,2,darker_0.7,clean_calib,64,0.8887067021930722,0.07317073170731707,0.1092436974789916,0.3625
screw,dinov2_s,2,darker_0.7,recal_20,20,0.8887067021930722,0.12195121951219512,0.05042016806722689,0.23125
screw,dinov2_s,2,darker_0.7,recal_all,64,0.8887067021930722,0.07317073170731707,0.13445378151260504,0.225
screw,dinov2_s,2,brighter_1.3,clean_calib,64,0.9995900799344127,0.04878048780487805,0.0,0.04375
screw,dinov2_s,2,brighter_1.3,recal_20,20,0.9995900799344127,0.0,0.2689075630252101,0.54375
screw,dinov2_s,2,brighter_1.3,recal_all,64,0.9995900799344127,0.0,0.42857142857142855,0.4
screw,dinov2_s,2,rotate_5,clean_calib,64,0.4832957573273212,1.0,0.0,0.0
screw,dinov2_s,2,rotate_5,recal_20,20,0.4832957573273212,0.07317073170731707,0.7899159663865546,0.1875
screw,dinov2_s,2,rotate_5,recal_all,64,0.4832957573273212,0.07317073170731707,0.773109243697479,0.2
screw,dinov2_s,2,rotate_15,clean_calib,64,0.49948759991801595,1.0,0.0,0.0
screw,dinov2_s,2,rotate_15,recal_20,20,0.49948759991801595,0.0,0.680672268907563,0.3125
screw,dinov2_s,2,rotate_15,recal_all,64,0.49948759991801595,0.04878048780487805,0.6554621848739496,0.3
screw,dinov2_s,2,blur_1,clean_calib,64,0.8085673293707727,0.0975609756097561,0.08403361344537816,0.40625
screw,dinov2_s,2,blur_1,recal_20,20,0.8085673293707727,0.0,0.18487394957983194,0.4875
screw,dinov2_s,2,blur_1,recal_all,64,0.8085673293707727,0.0,0.2605042016806723,0.45
screw,dinov2_s,2,blur_2,clean_calib,64,0.6956343513014961,1.0,0.0,0.0
screw,dinov2_s,2,blur_2,recal_20,20,0.6956343513014961,0.024390243902439025,0.3277310924369748,0.45
screw,dinov2_s,2,blur_2,recal_all,64,0.6956343513014961,0.024390243902439025,0.3277310924369748,0.40625
screw,dinov2_s,3,clean,clean_calib,64,0.8833777413404387,0.07317073170731707,0.06722689075630252,0.3625
screw,dinov2_s,3,clean,recal_20,20,0.8833777413404387,0.0,0.11764705882352941,0.5375
screw,dinov2_s,3,clean,recal_all,64,0.8833777413404387,0.07317073170731707,0.06722689075630252,0.3625
screw,dinov2_s,3,darker_0.7,clean_calib,64,0.8928059028489446,0.07317073170731707,0.05042016806722689,0.325
screw,dinov2_s,3,darker_0.7,recal_20,20,0.8928059028489446,0.0,0.09243697478991597,0.6125
screw,dinov2_s,3,darker_0.7,recal_all,64,0.8928059028489446,0.07317073170731707,0.058823529411764705,0.35625
screw,dinov2_s,3,brighter_1.3,clean_calib,64,0.9995900799344127,0.04878048780487805,0.0,0.09375
screw,dinov2_s,3,brighter_1.3,recal_20,20,0.9995900799344127,0.0,0.3445378151260504,0.4625
screw,dinov2_s,3,brighter_1.3,recal_all,64,0.9995900799344127,0.0,0.3949579831932773,0.34375
screw,dinov2_s,3,rotate_5,clean_calib,64,0.47017831522853043,1.0,0.0,0.0
screw,dinov2_s,3,rotate_5,recal_20,20,0.47017831522853043,0.14634146341463414,0.8403361344537815,0.1125
screw,dinov2_s,3,rotate_5,recal_all,64,0.47017831522853043,0.0975609756097561,0.7226890756302521,0.2375
screw,dinov2_s,3,rotate_15,clean_calib,64,0.49005943840951016,1.0,0.0,0.0
screw,dinov2_s,3,rotate_15,recal_20,20,0.49005943840951016,0.04878048780487805,0.680672268907563,0.275
screw,dinov2_s,3,rotate_15,recal_all,64,0.49005943840951016,0.04878048780487805,0.6386554621848739,0.31875
screw,dinov2_s,3,blur_1,clean_calib,64,0.8300881328141012,0.1951219512195122,0.03361344537815126,0.35625
