category,backbone,seed,shift,image_auroc,false_alarm,miss_single,miss_three_way,unsure_rate
bottle,wrn50,0,clean,1.0,0.05,0.0,0.0,0.060240963855421686
bottle,wrn50,0,darker_0.7,0.996031746031746,1.0,0.0,0.0,0.0
bottle,wrn50,0,brighter_1.3,1.0,0.2,0.0,0.0,0.14457831325301204
bottle,wrn50,0,rotate_5,0.8539682539682539,1.0,0.0,0.0,0.0
bottle,wrn50,0,rotate_15,0.5507936507936508,1.0,0.0,0.0,0.0
bottle,wrn50,0,blur_1,1.0,1.0,0.0,0.0,0.0
bottle,wrn50,0,blur_2,0.9984126984126984,1.0,0.0,0.0,0.0
bottle,wrn50,1,clean,1.0,0.05,0.0,0.0,0.04819277108433735
bottle,wrn50,1,darker_0.7,0.9952380952380951,1.0,0.0,0.0,0.0
bottle,wrn50,1,brighter_1.3,1.0,0.2,0.0,0.0,0.1566265060240964
bottle,wrn50,1,rotate_5,0.8698412698412699,1.0,0.0,0.0,0.0
bottle,wrn50,1,rotate_15,0.5563492063492064,1.0,0.0,0.0,0.0
bottle,wrn50,1,blur_1,1.0,1.0,0.0,0.0,0.0
bottle,wrn50,1,blur_2,0.9984126984126984,1.0,0.0,0.0,0.0
bottle,wrn50,2,clean,1.0,0.0,0.0,0.0,0.07228915662650602
bottle,wrn50,2,darker_0.7,1.0,1.0,0.0,0.0,0.0
bottle,wrn50,2,brighter_1.3,1.0,0.05,0.0,0.0,0.1927710843373494
bottle,wrn50,2,rotate_5,0.8817460317460317,1.0,0.0,0.0,0.0
bottle,wrn50,2,rotate_15,0.5650793650793651,1.0,0.0,0.0,0.0
bottle,wrn50,2,blur_1,1.0,0.85,0.0,0.0,0.03614457831325301
bottle,wrn50,2,blur_2,0.9984126984126984,1.0,0.0,0.0,0.0
