category,backbone,seed,shift,image_auroc,false_alarm,miss_single,miss_three_way,unsure_rate
screw,wrn50,0,clean,0.924779667964747,0.07317073170731707,0.226890756302521,0.04201680672268908,0.225
screw,wrn50,0,darker_0.7,0.8786636605861856,0.36585365853658536,0.14285714285714285,0.0,0.25
screw,wrn50,0,brighter_1.3,1.0,0.2926829268292683,0.0,0.0,0.14375
screw,wrn50,0,rotate_5,0.6036072965771674,1.0,0.0,0.0,0.0
screw,wrn50,0,rotate_15,0.7302725968436155,1.0,0.0,0.0,0.0
screw,wrn50,0,blur_1,0.5070711211313794,1.0,0.0,0.0,0.0
screw,wrn50,0,blur_2,0.38348022135683546,1.0,0.0,0.0,0.0
screw,wrn50,1,clean,0.9460955113752818,0.07317073170731707,0.21008403361344538,0.0,0.2375
screw,wrn50,1,darker_0.7,0.9153515064562411,0.1951219512195122,0.14285714285714285,0.0,0.30625
screw,wrn50,1,brighter_1.3,1.0,0.17073170731707318,0.0,0.0,0.2
screw,wrn50,1,rotate_5,0.6116007378561181,1.0,0.0,0.0,0.0
screw,wrn50,1,rotate_15,0.7454396392703423,1.0,0.0,0.0,0.0
screw,wrn50,1,blur_1,0.5302316048370568,1.0,0.0,0.0,0.0
screw,wrn50,1,blur_2,0.398237343717975,1.0,0.0,0.0,0.0
screw,wrn50,2,clean,0.9585980733756917,0.0975609756097561,0.1092436974789916,0.01680672268907563,0.13125
screw,wrn50,2,darker_0.7,0.9188358270137323,0.4878048780487805,0.04201680672268908,0.0,0.1375
screw,wrn50,2,brighter_1.3,1.0,0.4878048780487805,0.0,0.0,0.09375
screw,wrn50,2,rotate_5,0.5689690510350482,1.0,0.0,0.0,0.0
screw,wrn50,2,rotate_15,0.719614675138348,1.0,0.0,0.0,0.0
screw,wrn50,2,blur_1,0.4957983193277311,1.0,0.0,0.0,0.0
screw,wrn50,2,blur_2,0.3861447017831523,1.0,0.0,0.0,0.0
